serial number,Company,The location of the recycling service outlet,The name of the recycling service location,address,Short_Company_Name,City
108,"SAIC-GM-Wuling Motors Co., Ltd","Mudanjiang City, Heilongjiang Province","Mudanjiang Shengling Automobile Sales and Service Co., Ltd","No. 241, Guanghua Street, Water Conservancy Road","SAIC-GM-Wuling Motors Co.,",Mudanjiang
109,"SAIC-GM-Wuling Motors Co., Ltd","Heihe City, Heilongjiang Province","Heihe Huarui Xincheng Automobile Trading Co., Ltd",Heilongjiang Province Heihe City revitalization East Library diagonally opposite,"SAIC-GM-Wuling Motors Co.,",Heihe
110,"SAIC-GM-Wuling Motors Co., Ltd","Suihua City, Heilongjiang Province","Suihua Zhongyuan Hengyi Automobile Sales and Service Co., Ltd","No. 36, Xingsui Road, Economic Development Zone, Suihua City","SAIC-GM-Wuling Motors Co.,",Suihua
111,"SAIC-GM-Wuling Motors Co., Ltd","Baoshan District, Shanghai","Shanghai East China Vehicle Demolition Co., Ltd","691 Shitai Road, Baoshan District, Shanghai","SAIC-GM-Wuling Motors Co.,",Shanghai
112,"SAIC-GM-Wuling Motors Co., Ltd","Fengxian District, Shanghai","Xinguang Renewable Resources (Shanghai) Co., Ltd","691 Shitai Road, Baoshan District, Shanghai","SAIC-GM-Wuling Motors Co.,",Shanghai
113,"SAIC-GM-Wuling Motors Co., Ltd","Nanjing, Jiangsu Province","Nanjing Changling Automobile Sales and Service Co., Ltd","No. 195, Daming Road, Qinhuai District, Nanjing","SAIC-GM-Wuling Motors Co.,",Nanjing
114,"SAIC-GM-Wuling Motors Co., Ltd","Wuxi City, Jiangsu Province","Wuxi Huatie Automobile Repair Co., Ltd","No. 380, Jincheng East Road, Jiangxi Street, Wuxi City","SAIC-GM-Wuling Motors Co.,",Wuxi
115,"SAIC-GM-Wuling Motors Co., Ltd","Xuzhou City, Jiangsu Province","Xuzhou North Automobile Sales and Service Co., Ltd","In the courtyard of Xicheng Automobile Trading Center, Huanghe North Road, Quanshan District, Xuzhou City","SAIC-GM-Wuling Motors Co.,",Xuzhou
116,"SAIC-GM-Wuling Motors Co., Ltd","Changzhou City, Jiangsu Province","Changzhou Dongan Shangling Automobile Sales and Service Co., Ltd","No. 4-88, Shunyuan Road, 12S Auto City, Xuejia Town, Xinbei District, Changzhou City","SAIC-GM-Wuling Motors Co.,",Changzhou
117,"SAIC-GM-Wuling Motors Co., Ltd","Changzhou City, Jiangsu Province","Changzhou Changlian Scrapped Automobile Recycling and Dismantling Co., Ltd","No. 125, Chunjiang Middle Road, Xinbei District, Changzhou City","SAIC-GM-Wuling Motors Co.,",Changzhou
118,"SAIC-GM-Wuling Motors Co., Ltd","Suzhou City, Jiangsu Province","Suzhou Huafei Automobile Sales and Service Co., Ltd","South side of Xiangyang Street, Loudi City","SAIC-GM-Wuling Motors Co.,",Suzhou (Jiangsu)
119,"SAIC-GM-Wuling Motors Co., Ltd","Suzhou City, Jiangsu Province","Suzhou Suzhou Suxie Scrapped Automobile Recycling and Dismantling Co., Ltd. Zhangjiagang Branch",Zhangjiagang City Daxin Town Haikan Road Yanjiang Building,"SAIC-GM-Wuling Motors Co.,",Suzhou (Jiangsu)
120,"SAIC-GM-Wuling Motors Co., Ltd","Suzhou City, Jiangsu Province","Zhangjiagang Prospect Automobile Sales and Service Co., Ltd","No. 6, Changxing Road, Zhangjiagang Economic Development Zone","SAIC-GM-Wuling Motors Co.,",Suzhou (Jiangsu)
121,"SAIC-GM-Wuling Motors Co., Ltd","Nantong City, Jiangsu Province","Nantong Changjiang Wuling Automobile Sales and Service Co., Ltd","99 Changjiang North Road, Nantong","SAIC-GM-Wuling Motors Co.,",Nantong
122,"SAIC-GM-Wuling Motors Co., Ltd","Lianyungang City, Jiangsu Province","Lianyungang Jinyi Automobile Sales and Service Co., Ltd","No. 318, Jiefang East Road, Haizhou District, Lianyungang City, in the courtyard of Revitalizing Auto City","SAIC-GM-Wuling Motors Co.,",Lianyungang
123,"SAIC-GM-Wuling Motors Co., Ltd","Huai'an City, Jiangsu Province","Huai'an Wuling Automobile Sales and Service Co., Ltd","No. 28, Wangwang Avenue, Qinghe New District, Huai'an City","SAIC-GM-Wuling Motors Co.,",Huai'an
124,"SAIC-GM-Wuling Motors Co., Ltd","Huai'an City, Jiangsu Province","Huai'an Chengbei Material Recycling Co., Ltd","Group 6 of Labor Village, Dingji Town, Huaiyin District","SAIC-GM-Wuling Motors Co.,",Huai'an
125,"SAIC-GM-Wuling Motors Co., Ltd","Huai'an City, Jiangsu Province","Jinhu County Minpai Scrapped Automobile Recycling Co., Ltd","88-8 Jinshi Avenue, Jinhu County","SAIC-GM-Wuling Motors Co.,",Huai'an
126,"SAIC-GM-Wuling Motors Co., Ltd","Yancheng, Jiangsu Province","Yancheng Jinyu Automobile Sales and Service Co., Ltd","Oriental Auto Plaza in Liupeng Village, Yandu New District, Yancheng City","SAIC-GM-Wuling Motors Co.,",Yancheng
127,"SAIC-GM-Wuling Motors Co., Ltd","Yancheng, Jiangsu Province","Jiangsu Meruige Renewable Resources Co., Ltd","South District of Industrial Park, Binhai County Economic Development Zone, Yancheng City","SAIC-GM-Wuling Motors Co.,",Yancheng
128,"SAIC-GM-Wuling Motors Co., Ltd","Yancheng, Jiangsu Province","Funing Qianda Second-hand Car Trading Service Co., Ltd","No. 27, Fuyi Road, Funing County, Yancheng City","SAIC-GM-Wuling Motors Co.,",Yancheng
129,"SAIC-GM-Wuling Motors Co., Ltd","Yangzhou City, Jiangsu Province","Yangzhou Tongda Wuling Automobile Sales and Service Co., Ltd",Yangzhou City Heye East Road Weiyang District International Automobile City,"SAIC-GM-Wuling Motors Co.,",Yangzhou
130,"SAIC-GM-Wuling Motors Co., Ltd","Zhenjiang City, Jiangsu Province","Zhenjiang Changling Wuling Automobile Sales and Service Co., Ltd","271 Dingbiaoqiao Road, Zhenjiang City","SAIC-GM-Wuling Motors Co.,",Zhenjiang
131,"SAIC-GM-Wuling Motors Co., Ltd","Taizhou City, Jiangsu Province","Taizhou Subei Advanced Automobile Sales and Service Co., Ltd","No. 12, Tangwan Industrial Park, Taizhou City (next to National Highway 328)","SAIC-GM-Wuling Motors Co.,",Taizhou (Jiangsu)
132,"SAIC-GM-Wuling Motors Co., Ltd","Suqian City, Jiangsu Province","Suqian Baojun Automobile Sales and Service Co., Ltd","Shuangzhuang Town International Automobile City, Suqian City","SAIC-GM-Wuling Motors Co.,",Suqian
133,"SAIC-GM-Wuling Motors Co., Ltd","Hangzhou City, Zhejiang Province","Hangzhou Jingwei Resource Utilization Chain Co., Ltd","No. 2, Luofunli, Daqing Community, Zhuantang Street, West Lake District, Hangzhou, Zhejiang Province","SAIC-GM-Wuling Motors Co.,",Hangzhou
134,"SAIC-GM-Wuling Motors Co., Ltd","Hangzhou City, Zhejiang Province","Hangzhou Weijie Automotive Technology Co., Ltd","A150, 3st floor, Building 1, No. 1007, Wuchang Avenue, Wuchang Street, Yuhang District, Hangzhou, Zhejiang Province...","SAIC-GM-Wuling Motors Co.,",Hangzhou
135,"SAIC-GM-Wuling Motors Co., Ltd","Hangzhou City, Zhejiang Province","Zhejiang Baoling Automobile Co., Ltd","No. 2637, Xincheng Road, Xinjie Street, Xiaoshan District, Hangzhou, Zhejiang Province","SAIC-GM-Wuling Motors Co.,",Hangzhou
136,"SAIC-GM-Wuling Motors Co., Ltd","Hangzhou City, Zhejiang Province","Hangzhou Jingwei Resource Utilization Chain Co., Ltd. Xiaoshan chain store","No. 655, Hongda West Road, Ningwei Street, Xiaoshan District","SAIC-GM-Wuling Motors Co.,",Hangzhou
137,"SAIC-GM-Wuling Motors Co., Ltd","Hangzhou City, Zhejiang Province","Jiande City Property Recycling Co., Ltd","No. 10, Aixi Road, Xin'anjiang, Jiande City","SAIC-GM-Wuling Motors Co.,",Hangzhou
138,"SAIC-GM-Wuling Motors Co., Ltd","Ningbo City, Zhejiang Province","Ningbo Jintong Wuling Automobile Co., Ltd","No. 285, East Section of Huancheng North Road, Jiangbei District, Ningbo City","SAIC-GM-Wuling Motors Co.,",Ningbo
139,"SAIC-GM-Wuling Motors Co., Ltd","Wenzhou City, Zhejiang Province","Wenzhou Huitong Automobile Trading Co., Ltd","158 Wenzhou Avenue, Wenzhou City","SAIC-GM-Wuling Motors Co.,",Wenzhou
140,"SAIC-GM-Wuling Motors Co., Ltd","Jiaxing City, Zhejiang Province","Jiaxing Wuling Automobile Sales and Service Co., Ltd","No. 999 South Zhonghuan Road, Jiaxing City, No. 138, Hall A, Auto Trade Park","SAIC-GM-Wuling Motors Co.,",Jiaxing
141,"SAIC-GM-Wuling Motors Co., Ltd","Huzhou City, Zhejiang Province","Huzhou Wuling Automobile Sales and Service Co., Ltd","No. 166, Chuangye Avenue, Huzhou City","SAIC-GM-Wuling Motors Co.,",Huzhou
142,"SAIC-GM-Wuling Motors Co., Ltd","Shaoxing City, Zhejiang Province","Shaoxing Wuling Automobile Sales and Service Co., Ltd","Plot 14, Paojiang Auto City, Shaoxing City","SAIC-GM-Wuling Motors Co.,",Shaoxing
143,"SAIC-GM-Wuling Motors Co., Ltd","Jinhua City, Zhejiang Province","Jinhua Kaijun Automobile Sales and Service Co., Ltd","Chisong Town, Jinhuashan Tourism Economic Zone, Jinhua City, Zhejiang Province (Block 3S, Xianqiao Auto City, Jinhua City...","SAIC-GM-Wuling Motors Co.,",Jinhua
144,"SAIC-GM-Wuling Motors Co., Ltd","Jinhua City, Zhejiang Province","Yiwu Jiuzhou Automobile Sales Co., Ltd","No. 288, Xuefeng West Road, Beiyuan, Yiwu City","SAIC-GM-Wuling Motors Co.,",Jinhua
145,"SAIC-GM-Wuling Motors Co., Ltd","Quzhou City, Zhejiang Province","Quzhou Jintong Automobile Sales Co., Ltd","Auto City, Kecheng District, Quzhou City","SAIC-GM-Wuling Motors Co.,",Quzhou
146,"SAIC-GM-Wuling Motors Co., Ltd","Zhoushan City, Zhejiang Province","Zhoushan Chicheng Automobile Sales and Service Co., Ltd","Dinghai District, Zhoushan City, Shuangqiao Street, Shijiao Community, Outer Shantou Village (in Zhoushan Auto City)","SAIC-GM-Wuling Motors Co.,",Zhoushan
147,"SAIC-GM-Wuling Motors Co., Ltd","Taizhou City, Zhejiang Province","Zhejiang Yitong Auto Parts Co., Ltd","No. 2250, Shugang Avenue, Taizhou Economic Development Zone (intersection of Shugang Avenue and Development Avenue...","SAIC-GM-Wuling Motors Co.,",Taizhou (Zhejiang)
148,"SAIC-GM-Wuling Motors Co., Ltd","Lishui City, Zhejiang Province","Zhejiang Changda Automobile Trading Co., Ltd","Plot B, Nancheng Automobile Monopoly Market, Lishui City","SAIC-GM-Wuling Motors Co.,",Lishui
149,"SAIC-GM-Wuling Motors Co., Ltd","Hefei City, Anhui Province","Anhui Golden Dragon Automobile Sales Co., Ltd",Hefei Changjiang West Road Shushan Famous Car Square,"SAIC-GM-Wuling Motors Co.,",Hefei
150,"SAIC-GM-Wuling Motors Co., Ltd","Wuhu City, Anhui Province","Wuwei County Xingyun Automobile Trading Co., Ltd",Wuhu City Wuwei County East Gate Fudu Bridge East 500 meters east,"SAIC-GM-Wuling Motors Co.,",Wuhu
151,"SAIC-GM-Wuling Motors Co., Ltd","Bengbu City, Anhui Province","Bengbu Peace Automobile Trading Co., Ltd",Bengbu High-tech Industrial Development Zone International Automobile City,"SAIC-GM-Wuling Motors Co.,",Bengbu
152,"SAIC-GM-Wuling Motors Co., Ltd","Bengbu City, Anhui Province","Anhui Bengbu Shengxin Material Recycling Co., Ltd","No. 458, Shengli East Road, Bengbu City, Anhui Province (in the courtyard of Anrun Petrochemical Company)","SAIC-GM-Wuling Motors Co.,",Bengbu
153,"SAIC-GM-Wuling Motors Co., Ltd","Huainan City, Anhui Province","Anhui Jinlong Automobile Sales Co., Ltd. Huainan Branch","No. 37, diagonally opposite the Administrative Committee Building of Huainan Economic and Technological Development Zone, Anhui Province","SAIC-GM-Wuling Motors Co.,",Huainan
154,"SAIC-GM-Wuling Motors Co., Ltd","Ma'anshan City, Anhui Province","Maanshan Zhongling Automobile Sales and Service Co., Ltd","West section of Jiuhua Road, Yushan Development Zone, Maanshan City","SAIC-GM-Wuling Motors Co.,",Ma'anshan
155,"SAIC-GM-Wuling Motors Co., Ltd","Huaibei City, Anhui Province","Huaibei Junfeng Automobile Sales and Service Co., Ltd",Anhui Huaibei City Lieshan District National Purchase Car Culture Park,"SAIC-GM-Wuling Motors Co.,",Huaibei
156,"SAIC-GM-Wuling Motors Co., Ltd","Tongling City, Anhui Province","Tongling Wuling Automobile Sales and Service Co., Ltd",Tongling Bridge South Auto City,"SAIC-GM-Wuling Motors Co.,",Tongling
157,"SAIC-GM-Wuling Motors Co., Ltd","Anqing City, Anhui Province","Anqing Branch of Anhui Golden Dragon Automobile Sales Co., Ltd",Anqing Jixian Comprehensive Market Hall 5,"SAIC-GM-Wuling Motors Co.,",Anqing
158,"SAIC-GM-Wuling Motors Co., Ltd","Huangshan City, Anhui Province","Huangshan Shangling Automobile Sales and Service Co., Ltd","No. 2, Dongguan Road, Tunxi District, Huangshan City","SAIC-GM-Wuling Motors Co.,",Huangshan
159,"SAIC-GM-Wuling Motors Co., Ltd","Chuzhou City, Anhui Province","Chuzhou Tonglin Automobile Sales Co., Ltd",Chuzhou Changjiang Trade City International Automobile City No. 3-125,"SAIC-GM-Wuling Motors Co.,",Chuzhou
160,"SAIC-GM-Wuling Motors Co., Ltd","Chuzhou City, Anhui Province","Chuzhou Hongwu Scrapped Automobile Recycling, Dismantling and Utilization Co., Ltd. Chucheng Branch","No. 1, Tongling West Road, Economic Development Zone, Langya District, Chuzhou City, Anhui Province","SAIC-GM-Wuling Motors Co.,",Chuzhou
161,"SAIC-GM-Wuling Motors Co., Ltd","Fuyang City, Anhui Province","Anhui Fuyang Wuhua Automobile Sales Co., Ltd","No. 10, Fuyang Auto Trade Logistics Park","SAIC-GM-Wuling Motors Co.,",Fuyang
162,"SAIC-GM-Wuling Motors Co., Ltd","Suzhou City, Anhui Province","Dangshan Peace Trading Co., Ltd",Dangshan County Traffic Bureau East Wuling franchise store,"SAIC-GM-Wuling Motors Co.,",Suzhou (Anhui)
163,"SAIC-GM-Wuling Motors Co., Ltd","Lu'an City, Anhui Province","Lu'an Wuling Automobile Sales Co., Ltd","Oriental Auto City, Jin'an Economic Development Zone, Lu'an City (312 National Highway South)","SAIC-GM-Wuling Motors Co.,",Lu'an
164,"SAIC-GM-Wuling Motors Co., Ltd","Bozhou City, Anhui Province","Mengcheng County Chunling Automobile Sales and Service Co., Ltd","The intersection of Zhengtong Road and Wangguan Road in Mengcheng County, Anhui Province","SAIC-GM-Wuling Motors Co.,",Bozhou
165,"SAIC-GM-Wuling Motors Co., Ltd","Chizhou City, Anhui Province","Chizhou Wuling Automobile Sales and Service Co., Ltd",Anhui Province Chizhou City Zhanqian District Administrative Committee Zhanqian Road railway station,"SAIC-GM-Wuling Motors Co.,",Chizhou
166,"SAIC-GM-Wuling Motors Co., Ltd","Xuancheng, Anhui Province","Xuancheng Baojun Automobile Sales Co., Ltd","Intersection of Zhaoting South Road and Yuhe Road in Xuancheng City, Anhui Province","SAIC-GM-Wuling Motors Co.,",Xuancheng
167,"SAIC-GM-Wuling Motors Co., Ltd","Fuzhou City, Fujian Province","Fujian Roadfriend Renewable Resources Co., Ltd","Chunyuge B98-1, Rice Field Entrepreneurship Town, No. 10 Nanping East Road, Jin'an District, Fuzhou City, Fujian Province...","SAIC-GM-Wuling Motors Co.,",Fuzhou (Fujian)
168,"SAIC-GM-Wuling Motors Co., Ltd","Fuzhou City, Fujian Province","SDIC (Fujian Fuzhou) Urban Resources Recycling Co., Ltd","Room 1, second floor, No. 1-201, East Tower, Baiyun Village, Chengmen Town, Cangshan District, Fuzhou City, Fujian Province","SAIC-GM-Wuling Motors Co.,",Fuzhou (Fujian)
169,"SAIC-GM-Wuling Motors Co., Ltd","Fuzhou City, Fujian Province","Fuzhou Chida Automobile Trading Co., Ltd","Cangshan District, Fuzhou City, inside the famous star automobile city of Xu Avenue","SAIC-GM-Wuling Motors Co.,",Fuzhou (Fujian)
170,"SAIC-GM-Wuling Motors Co., Ltd","Fuzhou City, Fujian Province","Fujian Huasheng Scrapped Automobile Recycling and Dismantling Co., Ltd","No. 1-5, Building 10-A, Kaiyuan Garden, north of Marlboro Road, Tan Town, Pingtan County","SAIC-GM-Wuling Motors Co.,",Fuzhou (Fujian)
171,"SAIC-GM-Wuling Motors Co., Ltd","Xiamen City, Fujian Province","Xiamen New Wuling Automobile Sales Co., Ltd","Gaodian Puzai, Heshan Town, Huli District, Xiamen City","SAIC-GM-Wuling Motors Co.,",Xiamen
172,"SAIC-GM-Wuling Motors Co., Ltd","Xiamen City, Fujian Province","Xiamen Boruijie Energy Technology Co., Ltd","Room 136, No. 302, Lehai Road, Qiaoying Street, Jimei District, Xiamen City","SAIC-GM-Wuling Motors Co.,",Xiamen
173,"SAIC-GM-Wuling Motors Co., Ltd","Xiamen City, Fujian Province","Fujian Fuci Puguang Scrapped Automobile Recycling Co., Ltd","No. 711, 5st Floor, Building 1#, No. 7, Chaoyuan Road, Tongan District, Xiamen","SAIC-GM-Wuling Motors Co.,",Xiamen
174,"SAIC-GM-Wuling Motors Co., Ltd","Putian City, Fujian Province","Putian Wuling Automobile Sales and Service Co., Ltd","Donghukou Industrial Zone, West Tianwei Town, Licheng District, Putian City","SAIC-GM-Wuling Motors Co.,",Putian
175,"SAIC-GM-Wuling Motors Co., Ltd","Sanming City, Fujian Province","Sanming Wuling Automobile Sales and Service Co., Ltd","Wengdun Automobile Logistics Park, Meilie District, Sanming City","SAIC-GM-Wuling Motors Co.,",Sanming
176,"SAIC-GM-Wuling Motors Co., Ltd","Quanzhou City, Fujian Province","Quanzhou China Automobile Southeast Economic and Trade Co., Ltd","The middle section of Changtai Road, Jiangnan High-tech Electronics Park, Licheng District, Quanzhou City","SAIC-GM-Wuling Motors Co.,",Quanzhou
177,"SAIC-GM-Wuling Motors Co., Ltd","Quanzhou City, Fujian Province","Quanzhou Quanxian Scrapped Automobile Recycling Co., Ltd","Qiuhou Village Industrial Zone, Tuling Town, Quangang District, Quanzhou City, Fujian Province","SAIC-GM-Wuling Motors Co.,",Quanzhou
178,"SAIC-GM-Wuling Motors Co., Ltd","Quanzhou City, Fujian Province","Fujian Anxi County Yirong Scrapped Automobile Recycling Co., Ltd","No. 30, Longbang Road, Longmen Town, Anxi County, Quanzhou City, Fujian Province","SAIC-GM-Wuling Motors Co.,",Quanzhou
179,"SAIC-GM-Wuling Motors Co., Ltd","Quanzhou City, Fujian Province","Jinjiang Anhai Fuxing Material Recycling Co., Ltd","No. 9 Dongrong Road, Jinjiang Economic Development Zone (Andong Park), Quanzhou City, Fujian Province (Dongshi Town)","SAIC-GM-Wuling Motors Co.,",Quanzhou
180,"SAIC-GM-Wuling Motors Co., Ltd","Quanzhou City, Fujian Province","Quanzhou Guangmao Scrapped Automobile Recycling Co., Ltd","Jinjiang Economic Development Zone (Wuliyuan), Quanzhou City, Fujian Province, at the intersection of Yingyuan Road and Lingshan Road","SAIC-GM-Wuling Motors Co.,",Quanzhou
181,"SAIC-GM-Wuling Motors Co., Ltd","Quanzhou City, Fujian Province","Fujian Jinxiang Renewable Resources Co., Ltd","No. 8-2, Pujin Village Nursery Industrial Zone, Longhu Town, Jinjiang City, Quanzhou City, Fujian Province","SAIC-GM-Wuling Motors Co.,",Quanzhou
182,"SAIC-GM-Wuling Motors Co., Ltd","Quanzhou City, Fujian Province","Quanzhou Shungang Scrapped Automobile Recycling Co., Ltd","Opposite Liucheng Chenggong International Convention and Exhibition Center, Nan'an City, Fujian Province","SAIC-GM-Wuling Motors Co.,",Quanzhou
183,"SAIC-GM-Wuling Motors Co., Ltd","Zhangzhou City, Fujian Province","Zhangzhou Jianlian Automobile Trading Co., Ltd","Wuling Automobile Specialty Store, Lantian Development Zone, Zhangzhou City (intersection of Yingbin Avenue and Narcissus Avenue)","SAIC-GM-Wuling Motors Co.,",Zhangzhou
184,"SAIC-GM-Wuling Motors Co., Ltd","Nanping City, Fujian Province","Shaowu Longxiang Automobile Trading Co., Ltd. Nanping Branch","Shuixikou Transportation Hub Center, Yanping District, Nanping City","SAIC-GM-Wuling Motors Co.,",Nanping
185,"SAIC-GM-Wuling Motors Co., Ltd","Nanping City, Fujian Province","Shaowu Longxiang Wuling Automobile Sales Co., Ltd","No. 316-3, Fushou East Road, Automobile Trade City, next to National Road 3, Shaowu City","SAIC-GM-Wuling Motors Co.,",Nanping
186,"SAIC-GM-Wuling Motors Co., Ltd","Longyan City, Fujian Province","Longyan Wuling Automobile Sales and Service Co., Ltd","Shibu, Luolong Road, Silla District, Longyan City","SAIC-GM-Wuling Motors Co.,",Longyan
187,"SAIC-GM-Wuling Motors Co., Ltd","Longyan City, Fujian Province","Fujian Huancheng Renewable Resources Co., Ltd","No. 351-7, Madong Road, Kanshi Town, Kanshi Town, Yongding District, Longyan City, Fujian Province","SAIC-GM-Wuling Motors Co.,",Longyan
